fk_exhibit_id,fk_exhibition_id
139,1
21,1
6,1
48,1
84,1
120,1
197,1
161,1
150,1
188,1
90,1
93,1
8,1
165,1
218,1
159,1
205,1
148,1
45,2
135,2
203,2
53,2
224,2
136,2
167,2
124,3
34,3
39,3
223,3
149,3
3,3
69,3
96,3
9,3
113,4
98,4
191,4
197,4
169,4
141,4
224,4
29,4
179,4
15,4
37,4
166,4
225,4
103,4
201,5
39,5
55,5
153,5
71,5
215,5
139,5
119,5
164,5
108,5
175,5
78,5
53,5
170,5
104,5
89,6
70,6
77,6
199,6
90,6
215,6
194,6
129,6
74,6
214,6
95,6
36,6
211,6
121,6
59,6
4,6
102,6
49,6
158,6
86,6
168,7
9,7
103,7
95,7
209,7
18,7
49,7
25,7
220,7
117,7
93,7
225,7
42,7
97,7
79,7
152,7
64,7
37,7
45,7
218,7
29,8
156,8
145,8
164,8
225,8
22,8
107,8
9,8
44,8
132,8
96,9
213,9
135,9
21,9
120,9
57,9
17,9
95,9
122,9
72,9
13,9
47,9
203,9
146,9
168,9
52,10
216,10
193,10
63,10
62,10
66,10
96,10
1,10
32,10
214,10
88,10
114,10
16,10
55,11
31,11
165,11
32,11
195,11
205,11
131,11
100,11
72,11
203,11
130,11
207,11
3,11
49,11
124,11
61,11
181,11
209,12
117,12
135,12
159,12
52,12
130,12
75,12
78,12
148,12
147,13
180,13
203,13
29,13
37,13
214,14
34,14
7,14
173,14
159,14
108,14
210,14
202,14
30,14
157,14
125,14
75,14
190,14
31,14
55,14
222,14
64,14
79,14
93,14
9,14
172,15
154,15
2,15
103,15
41,15
192,15
33,15
82,15
52,15
90,15
174,15
126,15
200,15
224,15
74,15
